Rank,Name,Symbol,Quality_Score,Norm_MarketCap,Norm_Holders,Norm_Transfers,Norm_Whale_Top10,BSC_MarketCap_USD,BSC_Holders,BSC_Transfers,BSC_Whale_Top10_Pct
1,Circle Internet Group (Ondo Tokenized),CRCLon,0.906057,1.0,0.439218,0.037794,0.570955,137833659.12,2991.0,226014.0,81.16
2,NVIDIA (Ondo Tokenized),NVDAon,0.777848,0.266212,1.0,0.120832,0.609195,36692965.73,6806.0,722568.0,82.89
3,iShares Silver Trust (Ondo Tokenized),SLVon,0.524585,0.046687,0.54961,0.05163,0.123342,6434987.51,3742.0,308748.0,60.91
4,Micron Technology (Ondo Tokenized),MUon,0.48894,0.558202,0.340291,0.025681,0.435234,76939028.27,2318.0,153579.0,75.02
5,Tesla (Ondo Tokenized),TSLAon,0.275919,0.1488,0.531677,0.098978,0.503537,20509716.09,3620.0,591885.0,78.11
6,Ondo U.S. Dollar Token,USDon,0.254064,0.223164,0.018521,1.0,0.987622,30759521.64,129.0,5979890.0,100.01
7,Chevron (Ondo Tokenized),CVXon,0.182754,0.001662,0.177275,0.003817,0.0,229036.33,1209.0,22835.0,55.33
8,Invesco QQQ (Ondo Tokenized),QQQon,0.024522,0.176831,0.322358,0.222946,0.697613,24373217.25,2196.0,1333199.0,86.89
9,Redwire (Ondo Tokenized),RDWon,0.003839,0.0,0.048214,0.000717,0.045093,0.0,331.0,4299.0,57.37
10,Alphabet Class A (Ondo Tokenized),GOOGLon,0.001923,0.226545,0.33985,0.044282,0.608753,31225487.84,2315.0,264810.0,82.87
11,AST SpaceMobile (Ondo Tokenized),ASTSon,-0.194758,0.0,0.044245,0.00105,0.240053,0.0,304.0,6287.0,66.19
12,SPDR S&P 500 ETF (Ondo Tokenized),SPYon,-0.218524,0.027102,0.20638,0.069215,0.52122,3735517.32,1407.0,413907.0,78.91
13,IBM (Ondo Tokenized),IBMon,-0.228085,0.007373,0.037483,0.000931,0.273873,1016286.74,258.0,5575.0,67.72
14,Intel (Ondo Tokenized),INTCon,-0.270007,0.084467,0.182273,0.020724,0.557471,11642399.87,1243.0,123939.0,80.55
