Rank,Name,BSC_Total_Transfers
1,Ondo U.S. Dollar Token,5979890.0
2,Invesco QQQ (Ondo Tokenized),1333199.0
3,NVIDIA (Ondo Tokenized),722568.0
4,Tesla (Ondo Tokenized),591885.0
5,SPDR S&P 500 ETF (Ondo Tokenized),413907.0
6,iShares Silver Trust (Ondo Tokenized),308748.0
7,Alphabet Class A (Ondo Tokenized),264810.0
8,Apple (Ondo Tokenized),238670.0
9,Circle Internet Group (Ondo Tokenized),226014.0
10,Amazon (Ondo Tokenized),204863.0
11,Micron Technology (Ondo Tokenized),153579.0
12,Intel (Ondo Tokenized),123939.0
13,Alibaba (Ondo Tokenized),114620.0
14,Netflix (Ondo Tokenized),112132.0
15,Microsoft (Ondo Tokenized),106402.0
16,iShares Gold Trust (Ondo Tokenized),105228.0
17,iShares 20+ Year Treasury Bond ETF (Ondo Tokenized),99707.0
18,Meta Platforms (Ondo Tokenized),90275.0
19,United States Oil Fund (Ondo Tokenized),87793.0
20,SPDR Gold Shares (Ondo Tokenized),81761.0
21,AMD (Ondo Tokenized),71199.0
22,iShares Core S&P 500 ETF (Ondo Tokenized),56135.0
23,Oracle (Ondo Tokenized),49672.0
24,SanDisk (Ondo Tokenized),48278.0
25,PDD Holdings (Ondo Tokenized),46867.0
26,Exxon Mobil (Ondo Tokenized),45819.0
27,Nike (Ondo Tokenized),45496.0
28,ProShares UltraPro QQQ (Ondo Tokenized),42845.0
29,MicroStrategy (Ondo Tokenized),38479.0
30,Futu Holdings (Ondo Tokenized),36155.0
31,Coinbase (Ondo Tokenized),35114.0
32,Broadcom (Ondo Tokenized),28136.0
33,ProShares UltraPro Short QQQ (Ondo Tokenized),26418.0
34,Taiwan Semiconductor Manufacturing (Ondo Tokenized),26410.0
35,Marvell Technology (Ondo Tokenized),26009.0
36,Palantir Technologies (Ondo Tokenized),25772.0
37,Coca-Cola (Ondo Tokenized),23042.0
38,Chevron (Ondo Tokenized),22835.0
39,Ondas Holdings (Ondo Tokenized),21715.0
40,Robinhood Markets (Ondo Tokenized),19523.0
41,JPMorgan Chase (Ondo Tokenized),17430.0
42,Novo Nordisk (Ondo Tokenized),17110.0
43,Iren (Ondo Tokenized),15662.0
44,Qualcomm (Ondo Tokenized),13708.0
45,MP Materials (Ondo Tokenized),13174.0
46,abrdn Physical Palladium Shares ETF (Ondo Tokenized),12899.0
47,Oklo (Ondo Tokenized),12183.0
48,Moderna (Ondo Tokenized),11883.0
49,Global X Copper Miners ETF (Ondo Tokenized),11728.0
50,Arm Holdings plc (Ondo Tokenized),11475.0
51,Figure Technology Solutions (Ondo Tokenized),10615.0
52,Bilibili (Ondo Tokenized),10474.0
53,Rocket Lab (Ondo Tokenized),10383.0
