section,metric,chain,transform,gaussian_mean,gaussian_std,n_assets,bin_start,bin_end,bin_label,frequency,density,gaussian_pdf
PARAMS,Metric,Chain,Transform,Gaussian_Mean,Gaussian_Std,N_Assets,,,,,,
PARAMS,Number of Holders,ETH,log10,1.565413,0.612436,265,,,,,,
PARAMS,Number of Holders,BSC,log10,1.885271,0.573797,265,,,,,,
PARAMS,Onchain Market Cap (USD),ETH,log10,5.524216,1.402165,167,,,,,,
PARAMS,Onchain Market Cap (USD),BSC,log10,5.272705,1.234387,104,,,,,,
PARAMS,Whale Concentration – Top 10 Holders,ETH,linear,98.182943,5.061775,265,,,,,,
PARAMS,Whale Concentration – Top 10 Holders,BSC,linear,92.228113,8.630224,265,,,,,,
,,,,,,,,,,,,
BINS,Metric,Chain,,,,,Bin_Start,Bin_End,Bin_Label,Frequency,Density,Gaussian_PDF
BINS,Number of Holders,ETH,log10,,,,1.0,1.9307,1–2,0,0.0,0.0141846
BINS,Number of Holders,BSC,log10,,,,1.0,1.9307,1–2,0,0.0,0.0023139
BINS,Number of Holders,ETH,log10,,,,1.9307,3.7276,2–4,0,0.0,0.01913454
BINS,Number of Holders,BSC,log10,,,,1.9307,3.7276,2–4,3,0.00630017,0.00470716
BINS,Number of Holders,ETH,log10,,,,3.7276,7.1969,4–7,26,0.02828071,0.02076397
BINS,Number of Holders,BSC,log10,,,,3.7276,7.1969,4–7,1,0.00108772,0.00747329
BINS,Number of Holders,ETH,log10,,,,7.1969,13.895,7–14,47,0.02647893,0.01812473
BINS,Number of Holders,BSC,log10,,,,7.1969,13.895,7–14,13,0.00732396,0.009259
BINS,Number of Holders,ETH,log10,,,,13.895,26.827,14–27,51,0.0148819,0.01272687
BINS,Number of Holders,BSC,log10,,,,13.895,26.827,14–27,34,0.00992127,0.00895275
BINS,Number of Holders,ETH,log10,,,,26.827,51.7947,27–52,42,0.0063478,0.00718853
BINS,Number of Holders,BSC,log10,,,,26.827,51.7947,27–52,55,0.0083126,0.00675567
BINS,Number of Holders,ETH,log10,,,,51.7947,100.0,52–100,47,0.00367924,0.00326647
BINS,Number of Holders,BSC,log10,,,,51.7947,100.0,52–100,61,0.00477518,0.00397849
BINS,Number of Holders,ETH,log10,,,,100.0,193.0698,100–193,23,0.00093255,0.00119387
BINS,Number of Holders,BSC,log10,,,,100.0,193.0698,100–193,45,0.00182456,0.0018284
BINS,Number of Holders,ETH,log10,,,,193.0698,372.7594,193–373,11,0.00023101,0.00035101
BINS,Number of Holders,BSC,log10,,,,193.0698,372.7594,193–373,24,0.00050401,0.00065577
BINS,Number of Holders,ETH,log10,,,,372.7594,719.6857,373–720,6,6.526e-05,8.303e-05
BINS,Number of Holders,BSC,log10,,,,372.7594,719.6857,373–720,11,0.00011965,0.00018357
BINS,Number of Holders,ETH,log10,,,,719.6857,1389.4955,720–1K,7,3.944e-05,1.579e-05
BINS,Number of Holders,BSC,log10,,,,719.6857,1389.4955,720–1K,9,5.07e-05,4.009e-05
BINS,Number of Holders,ETH,log10,,,,1389.4955,2682.6958,1K–3K,2,5.84e-06,2.42e-06
BINS,Number of Holders,BSC,log10,,,,1389.4955,2682.6958,1K–3K,5,1.459e-05,6.84e-06
BINS,Number of Holders,ETH,log10,,,,2682.6958,5179.4747,3K–5K,3,4.53e-06,3e-07
BINS,Number of Holders,BSC,log10,,,,2682.6958,5179.4747,3K–5K,3,4.53e-06,9.1e-07
BINS,Number of Holders,ETH,log10,,,,5179.4747,10000.0,5K–10K,0,0.0,3e-08
BINS,Number of Holders,BSC,log10,,,,5179.4747,10000.0,5K–10K,1,7.8e-07,9e-08
BINS,Onchain Market Cap (USD),ETH,log10,,,,10.0,37.2759,10–37,0,0.0,6.54e-05
BINS,Onchain Market Cap (USD),BSC,log10,,,,10.0,37.2759,10–37,0,0.0,4.046e-05
BINS,Onchain Market Cap (USD),ETH,log10,,,,37.2759,138.9495,37–139,1,5.889e-05,5.395e-05
BINS,Onchain Market Cap (USD),BSC,log10,,,,37.2759,138.9495,37–139,0,0.0,4.208e-05
BINS,Onchain Market Cap (USD),ETH,log10,,,,138.9495,517.9475,139–518,10,0.000158,3.77e-05
