Name,Symbol,ETH_URL,ETH_Holders,ETH_Market_Cap,ETH_Total_Transfers,ETH_Whale_Top10_Pct,BSC_URL,BSC_Holders,BSC_Market_Cap,BSC_Total_Transfers,BSC_Whale_Top10_Pct
American Airlines Group (Ondo Tokenized),AALon,https://etherscan.io/token/0xbe8eb7b51a08f9d52bb6c8c7eca699f0f89bfc02,38,"$2,109.68","2,301",99.47%,https://bscscan.com/token/0x02d608506ca0048d0d991a11f1e7fb8cad1e44f8,60,$0.00,"3,214",92.78%
Apple (Ondo Tokenized),AAPLon,https://etherscan.io/token/0x14c3abF95Cb9C93a8b82C1CdCB76D72Cb87b2d4c,"1,978","$4,772,663.87","More than 150,368",89.97%,https://bscscan.com/token/0x390a684ef9cade28a7ad0dfa61ab1eb3842618c4,"1,619","$9,004,041.05","238,670",93.74%
AbbVie (Ondo Tokenized),ABBVon,https://etherscan.io/token/0x7c7378143a9c8839e0502e2178f058f46c6ea504,13,"$2,418.98",150,100.0%,https://bscscan.com/token/0x8677abad7b458bf16a0fb2676dfc7d3f55ac202a,31,$0.00,759,99.66%
Airbnb (Ondo Tokenized),ABNBon,https://etherscan.io/token/0xb035c3d5083bdc80074F380aeBc9Fcb68aBa0A28,257,"$1,162,668.76","6,228",99.98%,https://bscscan.com/token/0xef80743f78d98fc2b47a2253b293152ce8b879ba,76,"$1,403.78","2,212",97.94%
Abbott (Ondo Tokenized),ABTon,https://etherscan.io/token/0x3859385363f7BB4Dfe42811cCF3F294FcD41dd1D,219,"$1,182,368.94","5,414",99.8%,https://bscscan.com/token/0x5a20886b575058dd7299785f0ea9b1172942a3e0,109,"$13,590.53","2,341",89.18%
Archer Aviation (Ondo Tokenized),ACHRon,https://etherscan.io/token/0x9cfa08002d606e638fe91941be725e1b970b84a6,20,"$11,878.80",143,99.74%,https://bscscan.com/token/0x91c62325f901ee29da8e521cfe68980332a4ca06,47,$0.00,965,93.2%
Accenture (Ondo Tokenized),ACNon,https://etherscan.io/token/0xAbA9Ae731Aad63335C604E5f6E6A5db2e05f549d,181,"$1,023,123.63","4,769",99.31%,https://bscscan.com/token/0x7af44d51d1fb88c5b74fc71d3cba649bb8099d14,63,"$20,310.55","2,175",97.81%
Adobe (Ondo Tokenized),ADBEon,https://etherscan.io/token/0x7042a8fFc7c7049684BfBc2fcb41b72380755a43,271,"$728,342.14","5,842",98.34%,https://bscscan.com/token/0xcb22db0ecb6fe58b7b47db443dcfdfdfbf729cef,155,"$430,925.71","7,152",93.85%
Analog Devices (Ondo Tokenized),ADIon,https://etherscan.io/token/0x2ddc2391cc89e3e716a938f089ae755174cfdf1f,8,$0.00,29,100.0%,https://bscscan.com/token/0x0e246e05212dbbd78a354c072a92b4e5723b2fa0,39,$0.00,547,92.72%
iShares Core US Aggregate Bond ETF (Ondo Tokenized),AGGon,https://etherscan.io/token/0xfF7CF16aA2fFc463b996DB2f7B7cf0130336899D,47,"$14,320,055.52","1,022",99.99%,https://bscscan.com/token/0x08ce97f3d5cf11e577d091ab048bc5e2eae3fabb,38,"$22,328.97",685,98.83%
